Subset,Sentence,error (by experts)
train,"Soy un nuevo cliente de ustedes y el motivo de este correo es expresar le mi frustración con su servicio , tanto con la primera factura como los varios cortes de el servicio durante los primeros 30 días .",No
train,"Mi appellido es español , pero no lo hablo , es la appellido de me marido quien no habla este idioma tambien .",No
train,Soy muy activa .,No
train,"Algunas personas creen que soy muy feo , pero cuando ellos necesitan a mì , probablemente , tienen gratitud por mì mucho .",No
train,Fue una catastrofa y rapidamente empezo un accion immportante para descubrir los responsables .,No
train,Escrevo este postal para dizer le que estoy mucho contenta por he visitado la ciudad de tu madre .,No
train,Estoy muy alegre escribir te esta carta .,No
train,La ciudad es bellisima .,No
train,"Tengo dos hermanos , Rachid tiene trenta_y_dos años , es engeniero en Paris , es casado y tiene dos niños .",Sí
train,"Me llamo batiste , soy francés y tengo 19 años .",No
train,Soy Chongqing de China .,No
train,"Mi hermana tiene estatura mediana , es delgada y tiene pelo largo y castanõ .",No
train,Es muy agradable .,No
train,Sería más divertido si estes aquí pero te veré a el fin de el verano .,No
train,¿ Cúales algunos ejemplos ? y ¿ Cómo es su colección de la literatura española en la biblioteca ?,No
train,Sochi es la ciudad maravillosa pero había mucha gente cuando estabamos allí .,No
train,Estoy segura que tus jefes y tus compañeros de trabajo tienen confianza en tu .,No
train,"Jalid es de Arabia_Saudita , se trasladó a Dinamarca porque las grandes compañías de el petróleo habían derrumbado su pueblo natal .",No
train,le preguntémos que fue lo que pasó . nos dejó toda la historia . que cuando empiezó a besar la .,No
train,su respuesta urgente es muy agradesca . .,No
train,"Pero muy pronto , estaba a gritos con los palabras : ¡ díos mío !",No
train,Es decir fumar en lugares publicos affecta mucho de el cuerpo de las personas .,No
train,Mi nombre es Ana_María_Gómez_Martínez .,No
train,"Bueno , esa es mi familia !",No
train,"Mi marido se llama ALI , tiene cuarenta_y_dos años , vive en casablanca , es Director de emprese , tiene dos Hijas se llaman KENZA siete años y YASMINE tres años son en la escuela_JUAN_RAMON_JIMENEZ .",No
train,Pero son amable y agradable .,No
train,"Desgraciadamente , tengo que constatar que mi primera factura con su compañía es más alta de lo que me había prometido .",No
train,Los dos actores principales son Bourvil y Luis_De_Funés .,No
train,"Cuando personas speciales se murieron , no es posible olvidar los .",No
train,Los ingredientes que los cigarillos incluyen hoy_día hacen que es muy díficil dejar de fumar .,No
train,En_cuanto_a el precio cuánto es la cantidad de dinero que debemos pagar a el año y si hay posibildad de becas de qué tipo son .,No
train,"La pelicula fue genial de todos aspectos emepzando con el téma , la fotografía , la música y los personajes .",No
train,Si es possible yo quería a conseguir la en el aeropuerto de mi cuidad natal donde llegaré en 3 días .,No
train,"Por eso , veo que su universidad es la ideal para mi .",No
train,Estoy estudiante de español y trabajo con la iglesia evangelico aqui en España .,Sí
train,Como es tu familia ?,No
train,"Mientras los propietarios teman que eso afectaría de manera negativa su actividad , los países que han aplicado esta ley han demostrado que no fue el caso .",No
train,Mi padre es american y el he vivido en EEUU antes .,No
train,"Brian , mi hijo , es 27 años .",Sí
train,"Así me surge la pregunta , porque ellos están en calle a la vista fumando ?",No
train,"Yo fui con mi hermano a Egito y conoci las pyramides , la cultura , la comida , la música , la religion , las personas y el Nilo .",No
train,"No sé si un dia voy a utilisar este idioma , pero si Romain va a el America_del_Sur una proxima vez o si encuentra una novia española yo puedo visitar le o hablar con su novia .",No
train,"Que ese correo sirva como un aviso , pues yo voy a entrar en la justicia lo más rápido posible , caso esa factura no sea bajada para el precio justo y me plata compensada en el próximo mes .",No
train,"Me llamo Anna_Fedoseeva , tengo 52 años y soy programadora .",No
train,Era horible pero muy muy graciosa también .,No
train,"Yo he aceptado vuestra oferta porque pensaba que son muy serios en vuestro servicio y comportamiento , pero lástima , me he equivocado en ustedes , esto entra en la estafa y yo no tengo porque aceptar estas medidas",No
train,Soy irlandesa de Dublin .,No
train,No estaba en mi pais sino en el extranjero para disfrutar de mis vacaciónes .,No
train,Estoy esperando por su repuesta .,No
train,Soy gardia bosque .,No
train,"Es muy divertida y está siempre alegre , es muy optimista y consigue casi siempre lo que quier , pués es muy determinada .",No
train,"Mis intereses académicos son varios : A mi me gusta mucho la literatura de el siglo 16 o 17 , y me interesa mucho tambien la historia latinoamerica .",No
train,"Eithne , mi esposa era muy contenta porque habla espnaol y era posible practicar mucho con la gente .",Sí
train,"Llevo un mes trabajando con su compañia y , a decir verdad , estoy un_poco decepsionado .",No
train,Mi padre es muy alto .,No
train,"Además de las discusiones , fueron creadas leyes para limitar las actividades de los fumantes en lugares públicos .",No
train,La familia de el futuro yerno no es tampoco contenta .,Sí
train,"17_Again ( 17_otra_vez ) es una película de el actor Zak_Efron , y de el director Mathew_Low .",No
train,Aquel fue un buen encuentro con todos los compañeros de nuestra escuela ... ¡ Me he gustado muchísimo !,No
train,"Pero fumar es muy malo para la salud , y fumar en lugares públicos significa que otras personas tienen que pagar el precio con su salud para que los fumadores sean satisfechos .",Sí
train,"Ahora imagina que en_vez_de un fuego estacionario que puedes evitar , ahora es uno portátil que puede seguir te a cualquier destinación .",No
train,"No hay un autobús que está muy acerca de su casa , y caminando para mucho tiempo es demasiado difícil para ella .",No
train,Y el 'unico deseo de el hermano mayor es que el detective encuentre a estos hombres .,No
train,"Soy Felipe , esta es mi familia , somos tres , mis padres y yo .",No
train,Mis padres están jubilados .,No
train,"He sido víctima de vuestra estafa , tengo derecho de denunciar lo y lo haré .",No
train,El numero de vuelto es 2544 .,No
train,"Este actriz no solo muy talendida , sino muy atractiva tambien , no es muy alta , tiene los ojos oscures grandes y el pelo negro lizo y largo .",No
train,"Ahora , mi deseo es continuar mis estudios en un programa de postgrado .",No
train,desgarrado en pedazos y re-pegado que es un doble de una carta en una basura por una mujer que llega a el servicio otros documentos .,No
train,Me sería agradable que puedan mandar me las informaciones necesarias para una futura matriculación en un ciclo de enseñenza de luengua española de su universidad .,No
train,"Me llamo Hajar_El_Haskouri tengo 21 años , soy marroquí de Tetuan .",No
train,Simplamente fue para relajar y esquiar .,No
train,"Me llamo Blanca , tengo 22 años , y soy de China .",No
train,Soy pequeña y delgada .,No
train,"MAME , HOY NO LLEGO A_TIEMPO PARA CENAR , NO HACE_FALTA ESPERAR ME LO CIENTO PERO ES QUE HOY ES CUMPLIAÑOS DE MARIA Y LE VAMOS A HACER UNA SURPESA EN SU DESPACHO ! ! !",No
train,"Me lhamo Patricia , soy contadora , brasileña , con treinta anõs de trabajo en mí país .",No
train,"Lo más importante no es el humo , pero las prohibiciones .",No
train,Siempre se preocupa con las personal más importantes y especiales para él y está siempre intentando ayudar sus amigos y su familia .,No
train,El protagonista es presentado por el actor Vladimir_Mashkov .,No
train,"Ahora , mi familia , no mucho dinero pero son contento de sus vidas .",Sí
train,"Pues esto es todo por esta vez , espero tu respuesta .",No
train,Yo conozco estas muy pobre y es imposible que tu viaja ahi .,Sí
train,Es algo muy desagradable .,No
train,Nos somos 4 .,No
train,Pero un personaje muy famoso había llegado a la isla y este personaje estaba viviendo en las montañas muy lejos de las ciudad pequeño .,No
train,Tambíen era un regalo de mi madre y me gustaba mucho .,No
train,Ustedes pueden responder a esse correo o llamar me ( mi número es 98765432 ) .,No
train,"Me llamo Irina , soy nueva profesora de lengua ruso en la Universidad_de_Madrid .",No
train,"Visto todo desarrolado arriba no es un cuento chino decir que fumar mata , y por eso que se deja de fumar .",No
train,"Ya_que habito en una ciudad ubicada lejos de la Universidad , para mí será muy útil saber más sobre otros servicios que la Universidad pueda ofertar .",No
train,Me llamo Vicky que hace poco traigo este trabajo que es muy bueno .,No
train,"Soy Auriane_Gonzalez , una de los numerosos viajeros que estaban en el avion 2875T .",No
train,"Me llamo Samira , soy la nueva secretaria de el jefe Jorge , soy morena , baja , delgada , tengo los ojos marrones y el pelo leso y morrones tambián .",No
train,Era una estudiante de intercambio en Panamá por un año entonces entiendo la vida en ámerica _latina .,No
train,Es nervioso y antipatico .,No
train,Estoy de Kazajistan .,Sí
train,"fue una persona muy tranquila , a la que le gustaban las cosas simple de la vida , tenia cuidado de su casa , sus niños , disfrutaba y cocinaba muy bien .",No
train,"Gabo , como le decen cariñosamente era el hijo menor de Eligio_Gabriel_Garcia , uno de los inmigrantes que llegaron a Aracataca en el decinio de el sieglo xx despues de la  fievre de el banano  .",No
train,"Fumo secundario son especialmente horible para los bebes , los que son embarazadas y los viejos .",Sí
train,Para mi es imposible tirar mi dinero a la basura .,No
train,voy a volver muy tarde porque tengo muchas estudias y el exámin es muy cerca ....,Sí
train,Soy programisto .,No
train,"Furean iniciativas importantes , pues mucha gente empieza a fumar en la adolescencia , periodo de busca de identidad y contestación - el tabaco es utilizado para eso con frecuencia .",No
train,Pero tu es la sola persona que sé viviendo en Madrid y somos buenas amigas desde pequeña .,No
train,El es para mi una referencia .,No
train,Dónde es tuyo trabajo ?,Sí
train,La protagonista es una mujer Miss_Sloane que está tranbajando como una,No
train,Mi abuelo es cosntructor y ma abuela trabaja en casa .,No
train,"Habitualmente , las personas que sufren alguna enfermedad guardan cama en su casa o están en reposo en algún hospital .",No
train,"Como trabajo de profesora de lenguas extranjeras y también doy clases adicionales de literatura , soy especialmente interesada en este curso y me gustaría mucho realizar lo en un país hispanohablante .",Sí
train,"Por_ejemplo , si tu amigo fuma , tu estás capaz de dar le su apoyo , ayudar le dejar de fumar .",Sí
train,"Después_de varios intentos yo solo , finalmente me rendí y fui a trabajar en la biblioteca que esta a una milla de mi casa .",No
train,"No sé el nombre de el director , tampouco de los actores , solo de los personages .",No
train,"Mi vuelo fue de Madrid a los Estados_Unidos , el 15_de_enero .",No
train,"Tengo uno metro y 80 cms , delante porque andando mucho , tengo pelo gris , ojos azules , estoy tipico Irlandese ,",Sí
train,Soy porfesora de Alamen .,No
train,Estoy preparando una entrevista de un empresa famosa en el mundo .,No
train,Este es lugar muy bonito .,No
train,"Me llamo Barbara , tengo 52 años , soy medica en un consultorio , y vivo en el centro de Lyon cerca de el parque .",No
train,"A_veces , imos a el gimnasio y hacemos deporte , le gusta leer en su tiempo libre , es trabajadora y seria pero tiene un sentido de el humor , cuando sommos juntos siempre hacemos cosas locas .",Sí
train,Este situación tuvo en Moscu´ en un invierno que fui muy frio .,No
train,"Soy estudiante diligente y trabajadora , intento hacer todo lo posible para brillar y tener éxito .",No
train,No estoy nada satisfecha con esta situación y el próximo paso es ir a la justicia para reclamar mis derechos como cliente .,No
train,Espero que todo es bien con tu família .,Sí
train,Yo soy projectora digitales y trabajo en ' Dom_&_Tom . ',No
train,"Soy de Pekín , China .",No
train,"Cuando era pequeño , le gustaba nadar en el mar que estaba cerca de su casa .",No
train,"Soy de sur de China , por eso me gusta arroz mucho .",No
train,"Sin_embargo no tentava seducir a nadie , era mismo de carater dificil .",No
train,"Además_de no tener los servicios prestados con calidad , mi primera factura está con el doble de el valor que solía pagar .",No
train,Estoy buscando un programa que perdura un año completo ( o aún más tiempo ) para tener la oportunidad más amplió hacer mi investigación y también para entregar me completamente en la cultura y el idioma .,No
train,"No está preocupada sobre ropa y por eso lleva ropa no es elegante , pero ella es muy bonita .",No
train,"Su presencia en el encuentro de los economistas fue una rara casualidad : Christiano estaba en un momento muy dificil de su vida , sin tener muchos amigos .",No
train,Otra escena es que el señor escribe cartas de amor para una chica que no conoce .,No
train,"Fue una situación inesperada por su parte , porque no es posible que enagñen a sus clientes respecto_a su fama buena .",No
train,"También , si es posible , de informar me comó function vuestra organización , y , la formación de los profesores y el programa de cada curso : sujetos , horarios",No
train,Lo que sigue era de esperar : Max se encuentra a el niño y trata de ayudar le a_pesar_de los esfuerzos de la policía para encontrar lo .,No
train,"¿ Recuerdas ese libro que compré por ti en la librería de Pekín , que es escrito por Juan_King ?",Sí
train,"Aunque , desde el punto de vista de los que están en_contra , se consideran como libertad personal y nadie pueda quitar este derecho , a el mismo tiempo no dan que puede afectar a cualquiera .",No
train,Fue en Coruña y Baiona .,Sí
train,Tampoco estoy descontenta con el trato por parte de sus empleados .,No
train,"Su madre , trabaja en traducciones y en una tienda de ropa para poder dar de comer a su hijo así_como a su marido que no existía para todo lo que estaba fuera_de su casa .",No
train,"francamente merezco que me deis esta oportunidad , , soy la persona mas cualificada para entrar en esta universidad , , y si usted tiene preguntas contacta me en mi direccin electronica arriba",No
train,"Me gustaria saber sus precios se son muy caros en esta epoca , se el desayuno esta en cluso y su disponibilidad de habitaciones sencilla para el fecha de 24_de_junio hasta 4_de_julio_de_2012 .",No
train,"El proximo dia , fuimos a la Arenal_Region donde hay un volcano y corrimos a la volcano .",No
train,Me han dicho que salvara el diez porciento comparado con la otra compañia y eso no es verdad .,No
train,Mi padres están muertos .,No
train,"Es decir , fumar es un asecinado culto de la gente .",No
train,Los padres son portugués que viven en la ciudad y son muy conservadores .,No
train,Pero la madre piensa que es un perro malo y lo peca fuertemente .,No
train,"Yo también tengo una hermana , Sophia , que es un ano más nova . ( yo tengo 15 ) Nos otros vivimos en un edificio blanco y azul , en el barrio_de_Boa_Viagem .",No
train,"Pues , lo que sucede es que mi equipaje se perdió .",No
train,Esta viaje era mejor que otros vacaciones .,No
train,"Ella es muy bonita y alta , tiene el pelo largo y los ojos grandes .",No
train,"Tiene 30 años , lleva el pelo largo , está morena y tiene los ojos marones .",Sí
train,"Tu hermano mayor se llama Alberto , tiene 40 años y vive ahora con su familia en LátinoAmerica . es architecto y trabaja en un famosa empresa mundial .",No
train,En lo que estás trabajando ?,No
train,", ya ha pasado un mes desde que soy vuestro cliente y debo comentar os que es un desencanto total .",No
train,"Me gusta hacer mucho deporte en la naturaleza para hacer footing y en el gimnasio por los cursos collectivos , una otra cosa que me encanta es el baile hispanico como la salsa , zumba y el flamenco .",No
train, La_piel_que_habito  es la última película de el director Pedro_Almodóvar y tiene actores como Antonio_Banderas y Elena_Anaya en los papeles principales .,No
train,"Por esto , estoy totalmente en_contra_de el fumar en lugares publicos .",No
train,Estoy sorprendido que después de una semana nadie de la Iberia ni de el aeropuerto me haya dado noticias sobre mi maleta .,No
train,Es lleno de etiquetas de todas las ciudades que he visitado .,Sí
train,"Pues simplemente , la chica que me atendió por teléfono no estaba bien informada de su trabajo .",No
train,"Hace un año , he ido a XinJiang que es muy bonito . mis padres estan allí .",No
train,Fuimos la semana pasada .,No
train,Estoy lista a trabajar diligentemente .,No
train,¿ Qué tal con tu novio y cuándo es la boda ?,No
train,Ella es alta y no es basura .,No
train,"Mi madre se llama Ana , tiene 56 años támbien , y ella es una ama de casa amable .",No
train,"Además Mr_Ávila tiene pinta de ser un buen marido y cuando se siente tranquilo , sí lo es , pero cuando se pone enfadado también grita a ella .",No
train,Mi padres ahora viven en Gansu que está en el noroeste de China .,No
train,Estoy escribiendo a tú porque querio decir unos favores .,No
train,"Estoy soltero , vivo a el lado de el metro  Oktyabrskoye_pole  .",No
train,Me parece que fui engañada por su empresa .,No
train,es una cinta clasica de Tom_Hanks y Rober_Zemeckis sobre los Estados_Unidos a finales de el siglo XX .,No
train,"¡ Lo que me deja mas loco que una cabra es que cuando supimos de ese cambio , nos fue prometido que los precios iban a subir un_poco , pero no 300 % !",No
train,"Y es muy intellogente , humora y amable .",No
train,¿ Qué tal estás en Madrid ?,No
train,No estaba .,No
train,El nombre de su director es josé_Mirandes .,No
train,"Silvster_Stalon , en esta película aparece como el de siempre , su nombre es  Jhonn  , como en los anteriores películas de  Rambo  con un carácter violento , matador , ... pero siempre en_busca_de el bien .",No
train,De verdad yo no se como podeis hacer nos pasar por esto con lo facil que es informar nos de el corte un dia antes .,No
train,"Considero que es una buena manera de aprender el idioma con diferentes acentos , también es una gran oportunidad de conocer diferentes culturas , por_lo_tanto tengo que aprovechar la .",No
train,Creci en una familia muy dynmanico porque mi padre era animo de una emprase muy grande que se occupo de la organisacion de el Festival_De_Cannes .,No
train,"Fue ella quien me presentó a los cantantes hispanos como Shakira , Enrique_Iglesías , Jennifer_López , Ricky_Martin y otros .",No
train,"Mis interesos académicos son el estudio de la lengua española , el conocimiento con la cultura , tradiciones y mentalidad de la gente española y me parece que la literatura es lo que puede ayudar me lograr todo esto .",No
train,"Tengo el pelo castaño , pero soy mas y mas calvo tambien .",No
train,También se encuntraba con una mujer en la calle cuando estaba llevando la comida .,No
train,"Hace mucho tiempo que no nos hemos visto y espero que te encuentras bién , que todo está bién en_cuanto_a la tuya familia y a el tuyo trabajo ?",No
train,"Es de color azul rallada de gris , de tamaño mediano con un lazo dorado .",No
train,"No era guapo , pero tampoco era feo . !",No
train,"Pero , todos otros regalos son una sopresa .",No
train,Es importante el precio así_como posibilidad de becas .,No
train,Yo creo que soy un_poco simpatica .,No
train,"Yo soy Lúcia_Falcão_Barbosa , profesora de la Universidad_Federal_Rural_de_Pernambuco .",No
train,Mi carrera es Español .,No
train,"Pero la policía ahora estan conciente de que hace , y está bajo la amenaza de el carcél .",No
train,2. Esta habitación lo mejor está serca de parque o estadio . porque en mi tiempo libre me gusta hacer deporte jugar a el balonecesto y correr .,No
train,"Estoy enfadada con la situation , con las personas que trabajan en su compañia y con la situation .",No
train,Una punto de un dicusion típica con esta tema es que las personas pueden tener la libertad a hacer lo que quieren .,No
train,"En_cuanto_a mí , yo estoy en_contra_de fumar en lugares públicos por muchos razónes .",No
train,"Estaba muy nervioso , por eso no se dio_cuenta de que conducia a gran velocidad .",No
train,Soy rubia y engo pelo liso y largo .,No
train,"Soy Sami_Aya , pasiente de Airnihon de el marte pasado , vuelo A508 .",No
train,"Estoy en una escuela de comercio , tengo nuevos amigos y todo pasa bien .",No
train,Por_lo_tanto pasar todos los días en playas nuevas fue muy bueno para mí y unas vacaciones muy especiales y diferentes .,No
train,"Si fuera yo deputado , propondría hacer una vuelta en cuenta a las normas y promulgar una ley que permitiera respetar tan a los que no fuman que a los que fuman .",No
train,¿ Dónde Estás trabajando ?,No
train,"Su familia era muy pobre cuando era niño , no tenía mucho dinero para estudiar .",No
train,Ella es profesora de frances .,No
train,Son ingenieros .,No
train,"Cuando un amigo mio se marchaba a otro ciudad , era muy triste y dije a el :  no quiero despertase contigo en_vez_de no quiero despedir se contigo  .",Sí
train,"Se quieres puedes acostar se , no es necesario esperar me .",No
train,Seguro que ahora es una de mis favoritas .,No
train,"Experto de el cine no lo soy , para_nada , pero estoy seguro de que son pocos los aspectos memorables .",No
train,Llevo utilizando los servicios de su compañía desde el mes pasado y les quiero decir que no estoy nada contento con su trabajo !,No
train,Soy Marroquí pero vivo en Fez .,No
train,"Ella esta un_poco assustada por tener se tornado una  quarentona  , o_sea , una persona con quarenta años y que ainda está soltera .",No
train,Es una verdadera fiebre .,No
train,"Soy blanco , y soy menus alto .",No
train,"Es la ciudad muy interesante , muy rápidamente .",No
train,Qiero decir que me gustaban mucho las calles de Barcelona porque eran muy amables y limpias .,No
train,"Estoy bién , gracias .",No
train,"Se perdieron , cada uno estaba en un lugar diferente , pero todos estaban rodeados de policia .",No
train,"mis principales membros de mi familia son : mi madre , Beatrice_Chaoui , tiene 47 años .",No
train,"En conclusión , es idespensable decir que la prohibición de fumar en lugares públicos es acertada y necesaria .",No
train,Es de origen espanol .,No
train,Sus días fueron aparecidos .,No
train,"En este momento estoy estudiando en el Instituto_Cervantes_de_Porto_Alegre , para perfeccionar mi castellano y hacer la prueba de DELE en la próxima convocatoria .",No
train,"Me gustaría solicitar admisión en el programa porque estoy muy interesada en la lengua española , también en todo lo que está relacionado con la cultura española y latinoamericana y sobre_todo me interesa la literatura española .",No
train,"El protagonista es el militario muy joven , Andréi , que aun sigue estudiando en la Academia_Militar y va a ser un embajador militar .",No
train,Mi mujer y yo estamos jubilados .,No
train,"Soy una persona normal , soy rubio , alta y delgado .",No
train,"Nuestros gustos se diferenciam em muchas cosas , por_ejemplo , yo estudo Derecho y soy enamorada de iste .",No
train,"Fui a español el año pasado con mi amigo , Pu .",No
train,"Es cocinero , trabaja en un restaurante quatro dias a la semana .",No
train,Mi numero de telefono es 812345543 . Me siempre alegra oir te,No
train,Creo que su hotel es perfecto para relajar me .,No
train,Son dificiles para meter pero es obvio que usted mitió y ahora no tengo nada de mis cosas en un pais donde no vivo y no conozco a nadie .,No
train,"Recuperé el equipaje una semana más tarde , para me fue muy tarde . ahora les pregunto a ustedes de indemnizar para lo que sucedi .",No
train,"Ahora aunqué no estamos juntas , la llamo por el Skype .",No
train,Mi padre es muy alto y muy fuerte .,No
train,"soy anabela_basili tengo 23 años , soy libanesa y tengo un profundo interes en las lenguas extranjeras .",No
train,El aire acondicionado no es tan importante pero si tiene es fantástico .,No
train,"Mi padre , Jeova , que como tu sabes es medico , y esta sempre trabajando mucho .",No
train,Cómo está tu vida ?,No
train,"Si esto es una molestia para ti , o no es posible para , di me lo y me arreglo de otro modo para buscar un alojamineto .",No
train,Yo soy feliz mucho !,No
train,"Recientemente he contractado los servicios de ustedes , pero ahora escribo para quejar me de diversos puntos de el servicio que ( no ) me están ofreciendo .",No
train,"Debido_a esto estoy muy mal tratada , no me parezco nada a un turista , como a un emigrante inlegal .",No
train,Estoy segura de que puedo desarrollar mis intereses con los cursos y seminarios de el programa .,No
train,Las cataratas de Iguazu forman una frontera entre Brazil y Argentina : es un lugar enorme en la selva misionaria .,No
train,"Los ambos protagonistas son muy famosos en el mundo cinematografico , han tenido papeles muy importantes , de diferentes temas , cuyos papeles tuvieron mucho exito .",No
train,"En este momento , estoy una voluntaria en un albuergue des animales en un barrio hispano .",Sí
train,Así_que se puede decir que él no está muy bien de cabeza .,No
train,Y politica es su suprima aficion .,No
train,Me llamo fawz soy una persona que trabaja en una comania y qiero una habitacion que tiene tres habitacion para mi y mi mujer con uno baño compartido y en cada habitacion un aire acondicionado .,No
train,Las escenas están puestas de manera muy complicada y inesperada .,No
train,Es una miracle .,No
train,Estoy arrepientiendo de haber me cambiado de servicio en principio .,No
train,Mi madre es una mujer fuerte y aguenta cualcuer cosa que esteja en su camiño .,No
train,"Me dirigí a el balcón de la compañía y fui informada que mi maleta podría estar en São_Paulo y que me llamarían así_que la encontrasen , pero ya se pasó una semana y hasta ahora nadie me llamó .",No
train,"Me llame Mary , soy irlandesa , y tengo 60 años .",No
train,"Los fumódromos como el proprio nombre hace notar , son lugares especialmente planeados para los fumantes , de_manera_que puedan fumar tranquilamente sin molestar a nadie , ni preocupar se en perjudicar la salud de terceros .",No
train,"Mi vacacione ultímo fue en el verano este año , visite mí madre y mís amigos en el estado donde nací , Colorado .",No
train,"Me llamo Pol , soy nuevo compañero de tu compañia .",No
train,"por_ejemple , en Tokyo , es prohibido fumar en la calle , excepte en",Sí
train,Los goviernos autorizan fumar y vender cigaros porque es algo que trae dineros con las tasas .,No
train,"Quiero saber cuantos meses duro este programa , cual son las condiciones de admision a este programa .",No
train,"Creo que solo quedamos en tu casa todas las noches , y no por la mañana estamos fuera_de casa para visitar la ciudad .",No
train,"Mi amiga se llama suha , su familia es mediana vosotros 6 personas .",No
train,"Pero no fue eso que se sucedió , de_modo_que estoy muy arepentida y muy triste con mi eleccíon .",No
train,"¿ Cómo estás , amigo ?",No
train,Fuimos a Parque_Dianeyland y fuimos feliz .,No
train,Estoy muy agradable por su tiempo y ojalá voy a oír le pronto .,No
train,También en la oficina de la electricidad no podian ayudar me porque todas las ordenes fueron de su compaña .,No
train,Es como si se vieramos obligado a fumar .,No
train,"Es buena cocinera , siempre renova sus recetas .",No
train,Por eso sería recomendable que la gente viera esta película porque es muy interesante por la buena proyección de la realidad de de la gente egoista y deshonrada .,No
train,"Ahora yo estoy buscando de una practica en otro país para estudiar la lengua inglésa , sé que tu puedes ayudar me , por que estas estudiando en Inglaterra .",No
train,"Por_supuesto , ellos me cantaron la canción de Cumpleaños_Feliz , lo cual me siento es muy inmemoriable y valorable .",No
train,El es chino y tiene 23 años .,No
train,"En primer y en segundo año de lenguas extranjeras applicadad estudio la historia y la litteratura Latinoamericana , que es muy diversa y rica .",No
train,"Mi camino , mi pasión es ser una filosofa en español , meditar , fantasear y reflexionar como una auténtica escritora nacida en el mudo hispano .",No
train,¡ Toda esa situación es una total falta de respeto !,No
train,"El viaje fue más_o_menos bien , pero a el termino su compañía perdió mi equipaje .",No
train,Las leyes son mucho importantes para mi trabajo .,No
train,"Apreciaba el arte , la musica y la cultura y fue una protagonista de la vida cultural de los Estados_Unidos .",No
train,"Se llama Jennifer y ella nació en Seattle , un lugar donde ella vivía cuando era niña .",No
train,Estoy viviendo en Porto_Alegre con mis padres .,No
train,El lugar más hermoso que he visto allí es una ciudad muy antigua y que estaba casi completamente bajo el agua .,No
train,"Es más dirvertido que el de el año pasado . el viaje de el año pasado era horrible , fui a muchos museos y catedral .",No
train,"Y el tabaco está el único responsable de muchas tipos de el cáncer ,",Sí
train,Todos los vecinos eran muy enfadados porque el gallo no dejaba de gritar todas las mañanas .,Sí
train,"El está mi hermano , es el tercero de cuatro hijos de nuestros padres .",Sí
train,"Sin_embargo , lo que está más importante es el impacto en las personas alredador .",Sí
train,Ella está un_poco alta y muy delgada .,Sí
train,No me describo fisicamente porque estoy timido .,Sí
train,"Mi madre , se llama Viento , también está abogada , y su edad es igual que mi padre .",Sí
train,"Este fin de semeana en su hotel está muy importante para nosotros , entonces queremos la servicio más buena y comida excelente .",Sí
train,El Jefe de Miss_Sloane está el actor de el informatico,Sí
train,"En mi casa tiene 5 miembros : mi madre , mi padre , mi hermana mayor , mi abuela+y abuela+y mi . nosotro viven en shanxi está una ciudad muy bonita tranqila y limpia .",Sí
train,"Pues , lo que soy tratando de explicar es que , fumar es un decision que cada persona hacer por su mismo conscientemente .",Sí
train,Durante la primera semana con tu compañía me habían llamado para comprobar que todo era instalado y funcionanado .,Sí
train,Zidane está una persona un_poco nerviosa como pudemos veer la fina de el mundial de el año 2006 cuando frappado el jugador de Italia .,Sí
train,Creo que Almodovar ha elogido muy bien porque las dos actrices han caído muy bien y estaba posible ver que tenían una raporte muy bien .,Sí
train,"De_hecho , desde hace cuatro años soy aprendiendo español .",Sí
train,Creo que estaban mis mejores vacaciones .,Sí
train,"Para comparar estas vacaciones con otras de los años pasados , yo era mucho más ocupado este vez .",Sí
train,Tengo los tarjetas de Visa y Mastercard si está aceptable para pagar .,Sí
train,"El tercer motivo está un ejemplo personal , para mí , tengo alergía de los cigarros .",Sí
train,Recientemente soy pensando que si es posible que yo vaya a Manchester a visitar te y ser la bartender de el bar tuyo .,Sí
train,Lamento decir le que no soy contenta y es poco decir .,Sí
train,Mi correo electronico está dana.renee@gmx.es .,Sí
train,Me gustan mucho los animalestá ... Estaba miembra de una asociacion de defencia de los animales .,Sí
train,Otra pregunta muy importante está la estructura organizativa .,Sí
train,"Azarias acompañó a Ivan para la caza , pero mientras_que Ivan era mirando en el cielo los pajaros Azarias le colgo con una cuerda en el árbol , le mató .",Sí
train,"Estoy alta , delgada , llevo los gafas , tengo los ojos verdestá y el pelo marron .",Sí
train,Me llamo Nailya y mi apellido está Saifulina .,Sí
train,Mi madre está rubio .,Sí
train,"si puedes confirmar me la disponibilidad de esta reservación , estarías muy amble de su parte .",Sí
train,Eso está todo .,Sí
train,Ella está una profesora y trabaja en una universidad .,Sí
train,Una pista para ella está que no trata bien a el hijo de 17 años .,Sí
train,"Cómo sabes , soy estudiando español hace 2 años y siento que para mejorar mi nivel necesito vivir algunos meses ( dos o tres ) en España para estar en la posición de hablar español cada dia .",Sí
train,"Gunnar antes estaba un tenista exitoso , pero una vez perdió el partido por un error tonto de el juez .",Sí
train,Me interesa muchisimo este profil por eso soy escribiendo a usted para solicitar la admision en el programa de postgrado de lengua de una universidad latinoamericana .,Sí
train,Por dos horas fui en competencia con mi padre que pescaba más de siete y yo no pescaba nada .,Sí
train,"Soy rusa , estoy de Moscu .",Sí
train,y está el mejor de el mundo en futbal,Sí
train,"La carretera era de tierra , muy estrecha , y cruzar otro vehiculo estaba un milagro .",Sí
train,¿ Que están la disponibilidad para fechas concretas ?,Sí
