Number,Word,Sentence,Mother tongue,Level,Error (annotation by experts)
622284,vacaciones,"Para comparar estas vacaciones con otras de los años pasados , yo estaba mucho más ocupado este vez .",Inglés,A2,No
244957,pero,"No está preocupada sobre ropa y por eso lleva ropa no es elegante , pero ella es muy bonita .",Inglés,A2,No
20802,.,Sería más divertido si estes aquí pero te veré a el fin de el verano .,Inglés,A2,No
348275,alta,Ella es alta y no es basura .,Inglés,A2,No
290472,un,"Mi padre ha sido un bombero por mas que veinte años , y el ha hecho muchas cosas valientes en estas años .",Inglés,A2,No
349343,amable,"Billy es muy alto , griego , italiano , ruido / directo , muy amable ( a mi solamente ... y a sus novía nuevas ... por dos semanas maxímo ) , y inteligente .",Inglés,A2,No
543579,Pero,"Pero , todos otros regalos son una sopresa .",Inglés,A2,No
196353,los,Tengo los tarjetas de Visa y Mastercard si es aceptable para pagar .,Inglés,A2,No
294313,un,"El proximo dia , fuimos a la Arenal_Region donde hay un volcano y corrimos a la volcano .",Inglés,A2,No
584566,si,El aire acondicionado no es tan importante pero si tiene es fantástico .,Inglés,A2,No
107553,de,Me podeís mandar las posibilidades de esta fecha o me digaís cuales son las disponibilidades en esta fecha concreta .,Inglés,A2,No
351577,amigos,Es un líder en su trabajo y cuando hacemos actividades afuera con amigos .,Inglés,A2,No
403609,divertido,Y es muy divertido para debatir sobre ciencía con él .,Inglés,A2,No
314081,y,Despues divorcia y fue una mama solo por diez anos .,Inglés,A2,No
628482,viaje,Fue un viaje inolvidable .,Inglés,A2,No
75022,",","Este fin de semeana en su hotel es muy importante para nosotros , entonces queremos la servicio más buena y comida excelente .",Inglés,A2,No
507765,muchas,"Nuestros gustos se diferenciam em muchas cosas , por_ejemplo , yo estudo Derecho y soy enamorada de iste .",Portugués,A2,Yes
480215,largos,"Los centros comerciales acá también son muy largos , pero no voy a ir de compras porqué está todo muy caro .",Portugués,A2,unsure 
174571,la,Es estudiante de arquitectura e es enamorada por la profisión .,Portugués,A2,Yes
261815,que,Tengo certeza que será muy bueno .,Portugués,A2,No
273771,se,"Me gustaria saber sus precios se son muy caros en esta epoca , se el desayuno esta en cluso y su disponibilidad de habitaciones sencilla para el fecha de 24_de_junio hasta 4_de_julio_de_2012 .",Portugués,A2,No
119323,de,"El es mi hermano , es el tercero de cuatro hijos de nuestros padres .",Portugués,A2,No
77206,",","Es muy divertida y está siempre alegre , es muy optimista y consigue casi siempre lo que quier , pués es muy determinada .",Portugués,A2,No
895,",","Yo fui con mi hermano a Egito y conoci las pyramides , la cultura , la comida , la música , la religion , las personas y el Nilo .",Portugués,A2,No
536855,Paris,Los quería contar de mis vacaciones de este año que fueran en Paris .,Portugués,A2,No
518547,necesito,"Me llamo Louise , soy de Brasil y estoy escriviendo porque necesito de informaciones sobre las habitaciones disponiveis para el año nuevo .",Portugués,A2,No
607962,toda,"Cómo soy muy diferente de ella en este aspecto , tengo aprendido mucho con su personalidad durante toda mi vida .",Portugués,A2,No
351814,amigos,Siempre se preocupa con las personal más importantes y especiales para él y está siempre intentando ayudar sus amigos y su familia .,Portugués,A2,No
420431,eran,Preguntaran como era nuestro país y se todas las mujeres eran como tenian visto en la tele !,Portugués,A2,No
615523,tu,Escrevo este postal para dizer le que estoy mucho contenta por he visitado la ciudad de tu madre .,Portugués,A2,No
12997,.,Pasa que estoy escrevendo te para contar te de mis vacaciones .,Portugués,A2,No
542349,pequeña,Esta es una pequeña biografia de mi amigo Aloísio .,Portugués,A2,No
274114,son,"Me encantaron los uruguayos , son personas muy amables y receptivas .",Portugués,A2,No
36374,.,El es para mi una referencia .,Portugués,A2,No
13280,.,Mi madre es una mujer fuerte y aguenta cualcuer cosa que esteja en su camiño .,Portugués,A2,No
616660,tudo,"Además él es una persona muy amable y muy comprehensiva , lo puedo contar tudo .",Portugués,A2,No
41858,.,Es una ciudad de bellas paisajes y tiene un pueblo muy acojedor .,Portugués,A2,No
22194,.,"Fisicamente es alto , moreno y elegante .",Portugués,A2,No
257900,que,"No necesita ter vistas a el mar o minibar , pero que sea un canto tranquilo .",Portugués,A2,No
25534,.,"Fui hacia Navarra , exactamente cuando estaba ocurriendo Los_Sanfermines .",Portugués,A2,No
285569,tiene,"Mi hermana tiene estatura mediana , es delgada y tiene pelo largo y castanõ .",Portugués,A2,No
624184,veces,"E en fim fue conocer la España : Madrid es linda ( ya tenia ido otras veces ) , Avila , Toledo y Barcelona .",Portugués,A2,No
596358,tambien,"Yo lo admiro pos , su historia de vida es muy guapa y tambien por ser mi abuelo , el solamente quier que yo sea muy feliz en mi vida .",Portugués,A2,No
44194,.,Por_lo_tanto pasar todos los días en playas nuevas fue muy bueno para mí y unas vacaciones muy especiales y diferentes .,Portugués,A2,No
267123,que,"También conocemos la ciudad de Alexandria , que está en el norte de el Egipto .",Portugués,A2,No
162131,en,"En mis vaciones de verano estuve en São_Francisco_do_Sul , Santa_Catarina , Brasil , en la casa de mi hermano .",Portugués,A2,No
54206,!,Todos fui muy bien ! ! !,Ruso,A2,No
263350,que,Qiero decir que me gustaban mucho las calles de Barcelona porque eran muy amables y limpias .,Ruso,A2,Yes
86840,a,Después nos fuimos a la cafetería .,Ruso,A2,No ser/estar
528232,o,¿ Tiene cocina o el desayuno está incluido en el precio ?,Ruso,A2,No
493575,madre,Son 3 personas en su familia : su madre y su padre .,Ruso,A2,No
19289,.,Su abuela fue sola quien ayudó Messi en fútbol y después Messi le dedicó muchos goles a ella .,Ruso,A2,No
528309,o,"Tu sabes que no me interesa jugar o simplemente ver este deporte , pero ese juego fue maravilloso .",Ruso,A2,No
347750,allí,El lugar más hermoso que he visto allí es una ciudad muy antigua y que estaba casi completamente bajo el agua .,Ruso,A2,No
184705,la,"José es el hompbre de pelo en pecho y el va a el gimnasio 3 años , y en la unuversidad él siempre recibe buenas notas y por eso me ayuda .",Ruso,A2,No
107334,de,"Su padres estaban granjeros , pero el soñaba a carrera de el médico .",Ruso,A2,Yes
148494,en,"Un día , mis amigos y yo fuimos en Barcelona para ver la Sagrada_Familia y no tengo palabras para describir este lugar y mi amigo José tambien .",Ruso,A2,No
74955,",","Quiero contar os sobre una persona muy famosa , se llama Penelope_Cruz y es una actriz maravillosa y muy talentida , es conocida no solo en España , sino en todo el mundo .",Ruso,A2,No
475036,interesantes,"Mis otros vacaciones no estuvieron tan interesantes , puede ser porque estas vacaciones pasé con mi amigo .",Ruso,A2,Yes
231291,no,"Este actriz no solo muy talendida , sino muy atractiva tambien , no es muy alta , tiene los ojos oscures grandes y el pelo negro lizo y largo .",Ruso,A2,No
91637,años,"Si compramos estas vacasiones con las vacasiones de otros años , pedo decir con seguridad que fueron las mejores .",Ruso,A2,No
376425,ciudad,Sochi es la ciudad maravillosa pero había mucha gente cuando estabamos allí .,Ruso,A2,No
130247,el,Fue el primer viaje de mis padres .,Ruso,A2,No
585187,sido,Hemos sido amigos por más de 15 años .,Ruso,A2,No
363297,bonito,Este es lugar muy bonito .,Ruso,A2,No
27276,.,Yo admiro Maluma mucho porque creo que el es un chico increíble y mi deseo conocer lo .,Ruso,A2,No
13321,.,Antonio es programador .,Ruso,A2,No
184709,la,A mi madre le gusta pasar mucho tiempo en la playa y es lo que ella hacía por la mayoría de el tiempo .,Ruso,A2,No
15991,.,Ira es una chica alta .,Ruso,A2,No
279180,su,Creo que su hotel es perfecto para relajar me .,Ruso,A2,No
218329,mis,Creo que eran mis mejores vacaciones .,Ruso,A2,No
32709,.,"Tienen uniforme , su terminal y el jefe de terminal es tambien el chico .",Ruso,A2,No
454019,gustaría,"Estoy muy interesado , porque también me gustaría contar les sobre mis últimas vacaciones .",Ruso,A2,No
549854,politica,Y politica es su suprima aficion .,Ruso,A2,No
346408,algo,Es muy trabajadora y activa y siempre hace algo .,Ruso,A2,No
165029,gusta,Me gusta pasar tiempo con el mucho porque él es muy hermoso .,Ruso,A2,No
486535,llamar,"Yo pensé que pobre mi hermana estaba de creer esta historia ! ella me dijó que fue a llamar a el medico ,",Árabe,B1,No
495542,maleta,Mi equipaje es una maleta negra grande de 32 kilogramos donde hay mi nombre y mi direccion .,Árabe,B1,No
628196,viaje,estaba de viaje con algunos amigos y uno de ellos era muy gracioso se llamaba Domani .,Árabe,B1,No
28024,.,"La gente dice que la vida es carrissima en Doha , y no se que hacer .",Árabe,B1,No
603765,teníamos,"El lugar era llena con arboles y cuando caminabamos , la dirección estaba muy difícil , entonces teníamos miedo y mi prima empezaba a llorar .",Árabe,B1,Yes
51686,.,Por dos horas estuve en competencia con mi padre que pescaba más de siete y yo no pescaba nada .,Árabe,B1,No
379948,como,"Me asusté que pienses que soy oportunista , pero como eramos mejor amigos , decedí pedir te este favor .",Árabe,B1,No
24672,.,le preguntémos que fue lo que pasó . nos dejó toda la historia . que cuando empiezó a besar la .,Árabe,B1,No
151886,en,"y no puedo rechasar , porque este trabajo es mas importante para mi tesis , el trabajo sera en la empresa donde trabaja tu marido , por eso te pides de mi ayudas a hacer lo .",Árabe,B1,No
633569,volví,"Cuando se+fueron se+fueron , fui a una tienda campré un regalo muy bonito , volví a casa rapidamente , empecé a decorar la casa y preparé una tarta deliciosa .",Árabe,B1,No
80681,",","Es que no tengo dineros y quiero abrir un restaurante de pescado en el centro de la cuidad , sabes , al_lado_de  Chez_Merzouk  .",Árabe,B1,No
433689,esto,Lo único que era positivo de esta anécdota es que mis amigos no hableron de esto a nadie .,Árabe,B1,No
595553,tal,Qué tal estás ?,Árabe,B1,No
329648,yo,"es para mi contesto uno de ellos , pero te suplico que no me mates , yo se q sois ladrones , pero por_favor no me robes el dinero que tengo es para mi familia",Árabe,B1,No
444035,fue,cuando era pequino vive con mi familia en el disierto_sahara un dia fue solo en un lugar lejo de mi casa,Árabe,B1,No
57864,",","Estaba muy nervioso , por eso no se dio_cuenta de que conducia a gran velocidad .",Árabe,B1,No
118859,de,"Soy uno de los pasajeros que estuvieron en el vuelo de la semana pasada , mi nombre es Houda .",Árabe,B1,No
284500,tengo,"un alumno y no tengo tiempo para trabajar , mi situación es muy difícile .",Árabe,B1,No
96061,como,"tu sabes amigo que yo estudio espanol aqui en una facultad llamada la facultad_de_idiomas_y_traduccion departamiento de espanol , y como sabes amigo que aqui es muy dificil encontrar algunos libros de espanol y si lo encuentras son muy caros .",Árabe,B1,No
526632,numero,Eso es mi correo electronico ( n-k-art@hotmail.com ) donde puedes responder mi o a lo mejor escribe mi numero de telefono 00212656289458 ; le encontras si necesita ;,Árabe,B1,No
169436,?,¿ Qué tal con tu novio y cuándo es la boda ?,Árabe,B1,No
78819,",","Es de color rojo , pes 20 Kg y mi nombre aparece sobre la etiquita que lleva abajo .",Árabe,B1,No
514521,más,"Recuperé el equipaje una semana más tarde , para me fue muy tarde . ahora les pregunto a ustedes de indemnizar para lo que sucedi .",Árabe,B1,No
357614,azul,"Es de color azul rallada de gris , de tamaño mediano con un lazo dorado .",Árabe,B1,No
495545,maleta,Es una maleta roja pequeña .,Árabe,B1,No
634925,vuelo,"La semana pasada , exactamente el domingo pasado , volví de un viaje de Malaga , el numero de el vuelo era el 5449 , a las tres_de_la_tarde , pero a el llegar , desgraciadamente no encontré mi equipaje .",Árabe,B1,No
55287,!,En resumen ¡ fui un viaje muy mal !,Árabe,B1,No
403149,disfrutar,No estaba en mi pais sino en el extranjero para disfrutar de mis vacaciónes .,Árabe,B1,No
538428,pasaporte,Soy Hanae_Sarghini y mi numero de pasaporte es M7215 .,Árabe,B1,No
81453,",","Ahora quiero saber como puedo recuperar mi maleta donde hay todo lo que me necesito para este viaje , tambinn quiero saber si hay una indemnizacion porque como es vuestra culpa logicamente tiene la obligation de compensar me .",Árabe,B1,No
414303,En,"En el primero , todo estuvo bien y tampoco siendo duele mis rodillas .",Chino mandarín,B1,unsure 
537416,partido,"Cuando los enemigos vieron esta situación , ellos no supieron qué pasaron por es este partido , tenían miedo que ellos corrieran de_repente .",Chino mandarín,B1,No
64805,",","Era como um cielo , había mucha gente pero era muy tranquilo .",Chino mandarín,B1,Yes
250305,por,"¿ Recuerdas ese libro que compré por ti en la librería de Pekín , que es escrito por Juan_King ?",Chino mandarín,B1,Yes
588806,sobre,"Y una tienda fue antigua , tuvo 300 años , todas sobre helado .",Chino mandarín,B1,No
628312,viaje,"La semana pasada , tomé un avión para volver a mi ciudad y , fui un viaje sorprendente , por eso no puedo cordar nada además_de ese viaje estos días .",Chino mandarín,B1,No
594124,Sus,Tuvo una guapa vivió en una ciudad muy pequeña cerca de el mar . Sus padres estuvieron muertos .,Chino mandarín,B1,No
259547,que,He pedido este favor porque sé que tu llevaste bien con mi madre cuando eramos pequeña .,Chino mandarín,B1,No
415841,encontraba,Pero el empleo me explicaba mucho y me dijo que estaba seguro que encontraba mi maleta .,Chino mandarín,B1,No
248383,por,"Creo que solo quedamos en tu casa todas las noches , y no por la mañana estamos fuera_de casa para visitar la ciudad .",Chino mandarín,B1,No
184822,la,Pero tu es la sola persona que sé viviendo en Madrid y somos buenas amigas desde pequeña .,Chino mandarín,B1,No
612272,trabajando,¿ Dónde Estás trabajando ?,Chino mandarín,B1,No
362352,bien,Y es seguro que hablas inglés muy bien .,Chino mandarín,B1,No
174356,la,"Por_supuesto , ellos me cantaron la canción de Cumpleaños_Feliz , lo cual me siento es muy inmemoriable y valorable .",Chino mandarín,B1,No
63344,",","Pero muy pronto , estaba a gritos con los palabras : ¡ díos mío !",Chino mandarín,B1,No
111922,de,Era una historia cuando estaba una estudiante de la escuela segundaria .,Chino mandarín,B1,Yes
258212,que,"Además tengo que dar mi disculpa , porque la reuñíon estará en el horario normal , y podrá molestar te mucho .",Chino mandarín,B1,Yes
107779,de,"Mi quipaje es muy grande , el color es rojo y por encima pegó una foto muy grande de un coche azul claro de las series de animal .",Chino mandarín,B1,No
382483,compañía,"Creo que es muy logíco que su compañía me compense los perdidos , y podemos negociar las detalles de la compensación si usted tiene tiempo .",Chino mandarín,B1,No
293738,un,Tambíen era un regalo de mi madre y me gustaba mucho .,Chino mandarín,B1,No
256708,que,"Es normal que trabajes muy buena porque eres muy trabajanda y aburrida , ¿ no ?",Chino mandarín,B1,No
119333,de,Recientemente estoy pensando que si es posible que yo vaya a Manchester a visitar te y ser la bartender de el bar tuyo .,Chino mandarín,B1,No
324060,y,Es un flor que hay color verde y azul .,Chino mandarín,B1,No
639983,así,"Eso así , llevaría la ropa más profesional cuando esté en una entrevista ...",Chino mandarín,B1,No
148689,en,Estoy preparando una entrevista de un empresa famosa en el mundo .,Chino mandarín,B1,No
430350,estaba,"Cuando estaba en Bachillerato , fui muy mala de matemática .",Chino mandarín,B1,No
317340,y,Pero la madre piensa que es un perro malo y lo peca fuertemente .,Chino mandarín,B1,No
140395,el,"Todo estaba bien , por_ejemplo , me encanta el servicio , la comida , la silla .",Chino mandarín,B1,No
232191,no,"Esta experiencia era muy graciosa , no me encuentra antes .",Chino mandarín,B1,No
128610,de,El sabor de esta comida fue como basura y nunca hemos ido a este mercado nada .,Chino mandarín,B1,No
603125,tenia,Yo era despista y tenia asco que me metieran en este lugar .,Francés,B1,Yes
127285,de,"La carretera estaba de tierra , muy estrecha , y cruzar otro vehiculo estaba un milagro .",Francés,B1,Yes
380527,como,"Estaba como un día de descanzo para los campesinos , un día de alegría .",Francés,B1,Yes
347342,algunos,Acaso puede ser que algunos colegas podrían compartir este ejercicio pero con discreción porque la competición está muy fuerte en este tema .,Francés,B1,unsure 
364026,Bruselas,"Hace una semana , el 18_de_noviembre , fui a Bruselas con el vuelo IB_2526 que marchó de Madrid Barajas a las once_y_media_de_la_mañana .",Francés,B1,No ser/estar
402446,dinero,"Si es definitivamente perdida , solicito una indemnización ; el equipaje no vale mucho dinero solo pero había comprado muchos objetos de valor .",Francés,B1,Yes
177280,la,"Y esa mariposa les dijiste que son los niños de la profecia , porque van liberar la piedra magica por salvar este pays donde son .",Francés,B1,No
437644,está,"Hace mucho tiempo que no nos hemos visto y espero que te encuentras bién , que todo está bién en_cuanto_a la tuya familia y a el tuyo trabajo ?",Francés,B1,No
319089,y,"La última estaba muy asustada Unos días antes su conejo murió de vejez y a el día siguiente , estuvo muy hermoso en su conejera , como si hubiera resucitado .",Francés,B1,No
130595,el,Estoy sorprendido que después de una semana nadie de la Iberia ni de el aeropuerto me haya dado noticias sobre mi maleta .,Francés,B1,No
260340,que,"Mi equipaje es una maleta negra de tamaño medio , con cuatro ruas , que ne se puede equivocar , porque esta cobierta de banderas de diferentes paises .",Francés,B1,No
361697,bien,"Estoy en una escuela de comercio , tengo nuevos amigos y todo pasa bien .",Francés,B1,No
487311,llamo,"Me llamo batiste , soy francés y tengo 19 años .",Francés,B1,No
347425,algunos,"Cómo sabes , estoy estudiando español hace 2 años y siento que para mejorar mi nivel necesito vivir algunos meses ( dos o tres ) en España para estar en la posición de hablar español cada dia .",Francés,B1,No
3943,",","Personalmente , estoy atraída por la cultura berebere desde siempre .",Francés,B1,No
496111,mandar,"Conto contigo , y si tu eres d´ acuerdo mandar me lo por mi correo electrónico que es morena26@live.fr .",Francés,B1,Yes
285380,tiene,Lo qu prefiero es recoger mi equipaje pero si no lo tiene me parece normal que la compañía me pague una indemnización .,Francés,B1,No
100388,con,"Fue un momento muy gracioso , porque muchas veces despues vení a comer con nosotros .",Francés,B1,No
453751,gustaría,Deseo enseñar a mis hijos el museo de el Prado y también el famoso retrato Guernica de Picasso y me gustaría lojar en tu piso de Madrid si es posible .,Francés,B1,No
242812,para,"Si esto es una molestia para ti , o no es posible para , di me lo y me arreglo de otro modo para buscar un alojamineto .",Francés,B1,No
255032,que,"A_veces se devolvió hacia mí , tratando de ver lo que estaba leyendo .",Francés,B1,No
624079,vayas,Espero que vayas bien y tu familia también y que siguas trabajando porque en estos tiempos de crisis no es evidente .,Francés,B1,No
253215,porque,Estoy muy contento que vengas en unos dias Francia porque estoy muy triste sin tu .,Francés,B1,No
616799,tus,Estoy segura que tus jefes y tus compañeros de trabajo tienen confianza en tu .,Francés,B1,No
206170,me,"Además , lo que me choca más es que parece imposible obtener alguna información seria .",Francés,B1,No
586115,siento,"Estoy pidiendo una respuesta pronta , lo siento mucho !",Francés,B1,No
363919,Brazil,Las cataratas de Iguazu forman una frontera entre Brazil y Argentina : es un lugar enorme en la selva misionaria .,Francés,B1,No
457882,había,"Pero era demasiado tarde , la chica ya le había visto ...",Francés,B1,No
136477,el,¿ Era muy simpatico te acuerdas de esta tarde en el bar de el paseo_de_Gracia ¿,Francés,B1,No
43287,.,"Soy Auriane_Gonzalez , una de los numerosos viajeros que estaban en el avion 2875T .",Francés,B1,No
595134,sé,No sé donde mi otra amiga .,Inglés,B1,No ser/estar
382404,compañía,"El viaje fue más_o_menos bien , pero a el termino su compañía perdió mi equipaje .",Inglés,B1,No
508007,muchas,Están muchas personas que partir para vivir a el extranjero .,Inglés,B1,unsure 
390873,cuando,"Estaba viajando a Italia con mi familia para las vacaciones de verano y cuando nos lleguemos a el aeropuerto , mi equipaje no estaba allí .",Inglés,B1,No
606774,tienen,"Algunas personas creen que soy muy feo , pero cuando ellos necesitan a mì , probablemente , tienen gratitud por mì mucho .",Inglés,B1,No
40280,.,Espero que todo es bien con tu família .,Inglés,B1,Yes
396668,demasiado,"No hay un autobús que está muy acerca de su casa , y caminando para mucho tiempo es demasiado difícil para ella .",Inglés,B1,No
356666,avión,"Hola , me llamo Brian , y estoy escribiendo para decir te que sucedío en el viaje de avión .",Inglés,B1,No
256534,que,Sé que estás estudiando en la universidad_de_Oregon pero ¿ que estás estudiando ?,Inglés,B1,No
332978,¿,"¿ Cómo estás , amigo ?",Inglés,B1,No
44508,.,Estamos amigas en Facebook y Tuenti también .,Inglés,B1,Yes
64455,",","Mi vuelo fue de Madrid a los Estados_Unidos , el 15_de_enero .",Inglés,B1,No
498695,mas,"Yo creo que el volor de todos los ropas y el vaso , incluye los dos maletal , es mas de un_mil_quienientos dolores .",Inglés,B1,No
430234,estaba,No estaba .,Inglés,B1,No
38188,.,Estoy escribiendo a tú porque querio decir unos favores .,Inglés,B1,No
288745,un,Sé que estabas buscando un empleo cuando placticabamos el último vez .,Inglés,B1,No
638505,¨,Ella me dijó es ¨ chucho ¨ .,Inglés,B1,No
50981,.,No era justo .,Inglés,B1,No
530290,olvidar,"Cuando personas speciales se murieron , no es posible olvidar los .",Inglés,B1,No
425959,español,"Estoy en la universidad_de_Washington ahora y estoy estudiando el español , matemáticas , y filosofía .",Inglés,B1,No
308154,y,"Cuando yo fui a duchar se esta mañana , me olvidé mis llaves en nuestro cuarto , y la puerta está cerrada y no puedo abrir .",Inglés,B1,No
186965,la,"Estoy enfadada con la situation , con las personas que trabajan en su compañia y con la situation .",Inglés,B1,No
519082,negro,Mi equipaje es negro con accentos gris .,Inglés,B1,No
538191,pasado,"Soy Sami_Aya , pasiente de Airnihon de el marte pasado , vuelo A508 .",Inglés,B1,No
408836,e,"Pero , a media_noche , Cenicienta corré a casa : ! su vestido e su coche eran frutos de una magia !",Inglés,B1,No
15134,.,Mi correo electronico es dana.renee@gmx.es .,Inglés,B1,No
208864,mi,Estoy escribiendo este carte porque es muy importante para mi a tener mi equipaje prontisimo .,Inglés,B1,No
535457,pais,Son dificiles para meter pero es obvio que usted mitió y ahora no tengo nada de mis cosas en un pais donde no vivo y no conozco a nadie .,Inglés,B1,No
425220,espanol,"Estoy estudiando sociologia y espanol para mi carerra , y tomando sociologia , espanol , y ciencia environmental .",Inglés,B1,No
245991,pero,Era horible pero muy muy graciosa también .,Inglés,B1,No
607622,tipo,"Conozco bien la legislación para este tipo de ocurrido , y sé que todos los billetes aéreos incluyen un tipo de indemnización financera o compensación .",Portugués,B1,No ser/estar
85257,a,"Se estaba feliz o triste , mover se a un ritmo a hacía sentir se viva .",Portugués,B1,No
408322,Dónde,Dónde es tuyo trabajo ?,Portugués,B1,Yes
244836,pero,"Bueno , yo sé que desde el año pasado no nos hablamos más , pero necesito de tu ayuda com mi investigación en la Universidad .",Portugués,B1,No ser/estar
444115,fue,"En la ocasión de el ocurrido hablé con las personas responsables por el equipaje en el Aeropuerto_de_Barajas , pero nadie fue hecho , y desde hace dos semanas no he recibido ningun tipo de dinero para cobrir mi prejuicio .",Portugués,B1,No
350939,amigo,"Fuimos a la fiesta , bebemos , bailamos , pero en el medio de la fista nuestro amigo conductor desapareció , como estabamos muy alegres y borrachos no nos ponemos nerviosos ni preocupados .",Portugués,B1,No
107888,de,"Cuando llegó a el fin fue tomar algo , y un de los indígenas que estaba cercas de ellos em as escaleras preguntó en un muy bueno castellano onde ellos viviam .",Portugués,B1,No
148991,en,¿ Qué tal estás en Madrid ?,Portugués,B1,No
391919,cuerpo,"Empecé mis estudios , estuve concentrada y , cuando no esperava , un arrepio invadio mi cuerpo como una corrente electrica .",Portugués,B1,No
326464,y,Como están su padre y su madre ?,Portugués,B1,No
118976,de,Estoy viviendo en Brasil en la misma ubicación de siempre .,Portugués,B1,No
109892,de,Aquel fue un buen encuentro con todos los compañeros de nuestra escuela ... ¡ Me he gustado muchísimo !,Portugués,B1,No
628944,vida,Cómo está tu vida ?,Portugués,B1,No
577670,se,"Pues , lo que sucede es que mi equipaje se perdió .",Portugués,B1,No
371214,Carla,"Hola Carla , como estás ?",Portugués,B1,No
333012,¿,"Además , ¿ cómo está la familia ?",Portugués,B1,No
455363,habia,"En la primera vez me han vuelto las equipajes un mes despues cuando ya habia vuelto a el Brasil , ahora ustedes fueran más listos , las entregaron una semana despues , pero vacias .",Portugués,B1,No
460077,hacer,"Yo no puedo hacer porque soy gerente , entonces me quedo en la agencia trabajando , pero sin atender clientes .",Portugués,B1,No
412965,email,"Espero una resposta tuya , através_de mi email , que tu sabes cual es .",Portugués,B1,No
414021,En,En lo que estás trabajando ?,Portugués,B1,No
450831,graciosa,Es muy graciosa !,Portugués,B1,No
61860,",","No era guapo , pero tampoco era feo . !",Portugués,B1,No
53244,.,fue un dia terrible .,Portugués,B1,No
372656,casualidad,"Su presencia en el encuentro de los economistas fue una rara casualidad : Christiano estaba en un momento muy dificil de su vida , sin tener muchos amigos .",Portugués,B1,No
78249,",","Qué bueno fue recibir finalmente una carta tuya con noticias , hacía tiempo que no nos hablábamos .",Portugués,B1,No
215325,mi,Las leyes son mucho importantes para mi trabajo .,Portugués,B1,No
258998,que,"Me dirigí a el balcón de la compañía y fui informada que mi maleta podría estar en São_Paulo y que me llamarían así_que la encontrasen , pero ya se pasó una semana y hasta ahora nadie me llamó .",Portugués,B1,No
336287,),Ustedes pueden responder a esse correo o llamar me ( mi número es 98765432 ) .,Portugués,B1,No
410551,el,Gracias a Dios quien nos encontro fue mi hermano mayor rodrigo y todo que el hice fue hacer con que nos dos pidesemos perdón a los otros .,Portugués,B1,No
599855,Te,"Te has casado con Marta , aquella chica guapa de quien eras novio en la facultad ? !",Portugués,B1,No
40803,.,Tu sabes que estoy addicta a la historia .,Ruso,B1,Yes
336746,-,"Los niños fueron muy interesados en todo , porque fue su primer tiempo fuera_de la casa o el kindergarten - observaban todo con la expresión de una gran emoción y alegría .",Ruso,B1,Yes
370167,comillas,"Cuando un amigo mio se marchaba a otro ciudad , era muy triste y dije a el :  no quiero despertase contigo en_vez_de no quiero despedir se contigo  .",Ruso,B1,Yes
97757,con,"El festivo era interesante , con los trosos de color encima_de los techos de las casitas pequeñas que eran hecho de madera .",Ruso,B1,Yes
444423,fue,Ademas en este equipaje fue el dinero .,Ruso,B1,Yes
264243,que,"Queria a escribir te antes , pero es que estaba tan ocupada todos los dias , que no tenia tiempo para nada .",Ruso,B1,No
84535,a,"Cuando un día llegamos a el hospital el tuvo que examinar todo su cuerpo , si todo estuvo bien o no .",Ruso,B1,No
585592,siempre,Te fuiste siempre importante y especial para mi .,Ruso,B1,No
585873,siempre,Mi numero de telefono es 812345543 . Me siempre alegra oir te,Ruso,B1,No
592476,Soy,¡ Soy tan despistada !,Ruso,B1,No
443588,frio,Este situación tuvo en Moscu´ en un invierno que fui muy frio .,Ruso,B1,No
610382,todos,"Era muy gracioso , todos estaban reiendo se .",Ruso,B1,No
420636,Es,Es lleno de etiquetas de todas las ciudades que he visitado .,Ruso,B1,Yes
243568,para,"Ahora yo estoy buscando de una practica en otro país para estudiar la lengua inglésa , sé que tu puedes ayudar me , por que estas estudiando en Inglaterra .",Ruso,B1,No
232113,no,"Debido_a esto estoy muy mal tratada , no me parezco nada a un turista , como a un emigrante inlegal .",Ruso,B1,No
335917,),"Es una maleta de color rojo ( es mi color favorito ) , tiene unos dibujos como las flores de colores diferentes ( azules , amarillos , blancos , etcètera ) .",Ruso,B1,No
119089,de,Ya sabes que Galicia es muy famosa por sus platos de mariscos !,Ruso,B1,No
449545,gente,"Si fuera el alcalde de Moscou , yo constryiria muchos fuentas y zonas verdes para gente podria caminar y descansar .",Ruso,B1,No
111124,de,El numero de vuelto es 2544 .,Ruso,B1,No
52660,.,Soy Guzel_Yangurazova desde Russia .,Ruso,B1,No
223994,muy,Estoy muy alegre escribir te esta carta .,Ruso,B1,No
209135,mi,En mi vida occurrio´ una historia que era para mi muy graciosa .,Ruso,B1,No
112472,de,"Es una maleta Samsonite de tamaño bastante grande , artículo ST123 , de color negro y tiene una tarjeta con mi nombre y con mi teléfono .",Ruso,B1,No
41473,.,Son medicamentos cuales me necesito cada dia .,Ruso,B1,No
10196,",","Ayada me , por_favor , si no es una molestia para yo .",Ruso,B1,No
15915,.,"Fue ella quien me presentó a los cantantes hispanos como Shakira , Enrique_Iglesías , Jennifer_López , Ricky_Martin y otros .",Ruso,B1,No
411015,electronico,mi correo electronico es ......,Ruso,B1,No
214680,Mi,Mi numero es 76523487165 .,Ruso,B1,No
579597,sea,Quiero elegir el centro de nuestra ciudad para que podamos tener cita y tambièn para que sea màs còmodo para nosotros dos .,Ruso,B1,No
